Production Company,Year,Sum of Budget
Pixar Animation Studios,1995,30000000.0
Pixar Animation Studios,1998,120000000.0
Pixar Animation Studios,1999,90000000.0
Pixar Animation Studios,2001,115000000.0
Pixar Animation Studios,2003,94000000.0
Pixar Animation Studios,2004,92000000.0
Pixar Animation Studios,1986,0.0
Pixar Animation Studios,2006,120000000.0
Pixar Animation Studios,2007,150000000.0
Pixar Animation Studios,2008,180000000.0
Pixar Animation Studios,2009,175000000.0
Pixar Animation Studios,2010,200000000.0
Pixar Animation Studios,2011,200000000.0
Pixar Animation Studios,2002,0.0
Pixar Animation Studios,2012,185000000.0
Pixar Animation Studios,2005,0.0
Pixar Animation Studios,1988,0.0
Pixar Animation Studios,1987,0.0
Pixar Animation Studios,1997,0.0
Pixar Animation Studios,1989,0.0
Pixar Animation Studios,2000,0.0
Pixar Animation Studios,2013,200000000.0
Pixar Animation Studios,2014,0.0
Pixar Animation Studios,1984,0.0
Pixar Animation Studios,2015,350000000.0
Pixar Animation Studios,2016,200000000.0
Pixar Animation Studios,2017,175000000.0
