Production Company,Year,Sum of Profit
Pixar Animation Studios,1995,343554033.0
Pixar Animation Studios,1998,243258859.0
Pixar Animation Studios,1999,407366869.0
Pixar Animation Studios,2001,447816256.0
Pixar Animation Studios,2003,846335536.0
Pixar Animation Studios,2004,539442092.0
Pixar Animation Studios,1986,0.0
Pixar Animation Studios,2006,341983149.0
Pixar Animation Studios,2007,473722818.0
Pixar Animation Studios,2008,341311860.0
Pixar Animation Studios,2009,560099082.0
Pixar Animation Studios,2010,866969703.0
Pixar Animation Studios,2011,359852396.0
Pixar Animation Studios,2002,0.0
Pixar Animation Studios,2012,353983207.0
Pixar Animation Studios,2005,0.0
Pixar Animation Studios,1988,0.0
Pixar Animation Studios,1987,0.0
Pixar Animation Studios,1997,0.0
Pixar Animation Studios,1989,0.0
Pixar Animation Studios,2000,0.0
Pixar Animation Studios,2013,543559607.0
Pixar Animation Studios,2014,0.0
Pixar Animation Studios,1984,0.0
Pixar Animation Studios,2015,839537321.0
Pixar Animation Studios,2016,828570889.0
Pixar Animation Studios,2017,175170057.0
