Production Company,Year,Sum of Revenue
Pixar Animation Studios,1995,373554033.0
Pixar Animation Studios,1998,363258859.0
Pixar Animation Studios,1999,497366869.0
Pixar Animation Studios,2001,562816256.0
Pixar Animation Studios,2003,940335536.0
Pixar Animation Studios,2004,631442092.0
Pixar Animation Studios,1986,0.0
Pixar Animation Studios,2006,461983149.0
Pixar Animation Studios,2007,623722818.0
Pixar Animation Studios,2008,521311860.0
Pixar Animation Studios,2009,735099082.0
Pixar Animation Studios,2010,1066969703.0
Pixar Animation Studios,2011,559852396.0
Pixar Animation Studios,2002,0.0
Pixar Animation Studios,2012,538983207.0
Pixar Animation Studios,2005,0.0
Pixar Animation Studios,1988,0.0
Pixar Animation Studios,1987,0.0
Pixar Animation Studios,1997,0.0
Pixar Animation Studios,1989,0.0
Pixar Animation Studios,2000,0.0
Pixar Animation Studios,2013,743559607.0
Pixar Animation Studios,2014,0.0
Pixar Animation Studios,1984,0.0
Pixar Animation Studios,2015,1189537321.0
Pixar Animation Studios,2016,1028570889.0
Pixar Animation Studios,2017,350170057.0
